Timestamp,Time,,,,Kp,Ap,,even_index
2023 03 13,0,1.5,33309,33309.0625,0.333,2,1,TRUE
2023 03 13,6,7.5,33309.25,33309.3125,0.333,2,1,TRUE
2023 03 13,12,13.5,33309.5,33309.5625,0.667,3,1,TRUE
2023 03 13,18,19.5,33309.75,33309.8125,0.667,3,1,TRUE
2023 03 14,0,1.5,33310,33310.0625,2.667,12,1,TRUE
2023 03 14,6,7.5,33310.25,33310.3125,3.333,18,1,TRUE
2023 03 14,12,13.5,33310.5,33310.5625,3.333,18,1,TRUE
2023 03 14,18,19.5,33310.75,33310.8125,2.667,12,1,TRUE
2023 03 15,0,1.5,33311,33311.0625,3.667,22,1,TRUE
2023 03 15,6,7.5,33311.25,33311.3125,4,27,1,TRUE
2023 03 15,12,13.5,33311.5,33311.5625,3,15,1,TRUE
2023 03 15,18,19.5,33311.75,33311.8125,2,7,1,TRUE
2023 03 16,0,1.5,33312,33312.0625,3.667,22,1,TRUE
2023 03 16,6,7.5,33312.25,33312.3125,0.667,3,1,TRUE
2023 03 16,12,13.5,33312.5,33312.5625,0,0,1,TRUE
2023 03 16,18,19.5,33312.75,33312.8125,0.667,3,1,TRUE
2023 03 17,0,1.5,33313,33313.0625,0.333,2,1,TRUE
2023 03 17,6,7.5,33313.25,33313.3125,1.667,6,1,TRUE
2023 03 17,12,13.5,33313.5,33313.5625,2.333,9,1,TRUE
2023 03 17,18,19.5,33313.75,33313.8125,0.333,2,1,TRUE
2023 03 18,0,1.5,33314,33314.0625,2,7,1,TRUE
2023 03 18,6,7.5,33314.25,33314.3125,2,7,1,TRUE
2023 03 18,12,13.5,33314.5,33314.5625,2.333,9,1,TRUE
2023 03 18,18,19.5,33314.75,33314.8125,2.333,9,1,TRUE
2023 03 19,0,1.5,33315,33315.0625,1.667,6,1,TRUE
2023 03 19,6,7.5,33315.25,33315.3125,2,7,1,TRUE
2023 03 19,12,13.5,33315.5,33315.5625,1.667,6,1,TRUE
2023 03 19,18,19.5,33315.75,33315.8125,3.333,18,1,TRUE
2023 03 20,0,1.5,33316,33316.0625,3,15,1,TRUE
2023 03 20,6,7.5,33316.25,33316.3125,0.333,2,1,TRUE
2023 03 20,12,13.5,33316.5,33316.5625,3.667,22,1,TRUE
2023 03 20,18,19.5,33316.75,33316.8125,1.333,5,1,TRUE
2023 03 21,0,1.5,33317,33317.0625,2.333,9,1,TRUE
2023 03 21,6,7.5,33317.25,33317.3125,1.667,6,1,TRUE
2023 03 21,12,13.5,33317.5,33317.5625,1,4,1,TRUE
2023 03 21,18,19.5,33317.75,33317.8125,1.333,5,1,TRUE
2023 03 22,0,1.5,33318,33318.0625,3.667,22,1,TRUE
2023 03 22,6,7.5,33318.25,33318.3125,3,15,1,TRUE
2023 03 22,12,13.5,33318.5,33318.5625,2.333,9,1,TRUE
2023 03 22,18,19.5,33318.75,33318.8125,3.333,18,1,TRUE
2023 03 23,0,1.5,33319,33319.0625,0.667,3,1,TRUE
2023 03 23,6,7.5,33319.25,33319.3125,3,15,1,TRUE
2023 03 23,12,13.5,33319.5,33319.5625,6.667,111,1,TRUE
2023 03 23,18,19.5,33319.75,33319.8125,6.333,94,1,TRUE
2023 03 24,0,1.5,33320,33320.0625,7.333,154,1,TRUE
2023 03 24,6,7.5,33320.25,33320.3125,6.333,94,1,TRUE
2023 03 24,12,13.5,33320.5,33320.5625,2.333,9,1,TRUE
2023 03 24,18,19.5,33320.75,33320.8125,4.667,39,1,TRUE
2023 03 25,0,1.5,33321,33321.0625,3,15,1,TRUE
2023 03 25,6,7.5,33321.25,33321.3125,3.667,22,1,TRUE
2023 03 25,12,13.5,33321.5,33321.5625,2.667,12,1,TRUE
2023 03 25,18,19.5,33321.75,33321.8125,2.667,12,1,TRUE
2023 03 26,0,1.5,33322,33322.0625,2.667,12,1,TRUE
2023 03 26,6,7.5,33322.25,33322.3125,1.667,6,1,TRUE
2023 03 26,12,13.5,33322.5,33322.5625,0.667,3,1,TRUE
2023 03 26,18,19.5,33322.75,33322.8125,2.667,12,1,TRUE
2023 03 27,0,1.5,33323,33323.0625,0.333,2,1,TRUE
2023 03 27,6,7.5,33323.25,33323.3125,0.333,2,1,TRUE
2023 03 27,12,13.5,33323.5,33323.5625,0.333,2,1,TRUE
2023 03 27,18,19.5,33323.75,33323.8125,1,4,1,TRUE
2023 03 28,0,1.5,33324,33324.0625,1.333,5,1,TRUE
2023 03 28,6,7.5,33324.25,33324.3125,0.333,2,1,TRUE
2023 03 28,12,13.5,33324.5,33324.5625,1.667,6,1,TRUE
2023 03 28,18,19.5,33324.75,33324.8125,0.667,3,1,TRUE
2023 03 29,0,1.5,33325,33325.0625,2,7,1,TRUE
2023 03 29,6,7.5,33325.25,33325.3125,0.667,3,1,TRUE
2023 03 29,12,13.5,33325.5,33325.5625,1.667,6,1,TRUE
2023 03 29,18,19.5,33325.75,33325.8125,1.333,5,1,TRUE
2023 03 30,0,1.5,33326,33326.0625,3,15,1,TRUE
2023 03 30,6,7.5,33326.25,33326.3125,2.333,9,1,TRUE
2023 03 30,12,13.5,33326.5,33326.5625,2.667,12,1,TRUE
2023 03 30,18,19.5,33326.75,33326.8125,5,48,1,TRUE
2023 03 31,0,1.5,33327,33327.0625,4,27,1,TRUE
2023 03 31,6,7.5,33327.25,33327.3125,3.333,18,1,TRUE
2023 03 31,12,13.5,33327.5,33327.5625,2.333,9,1,TRUE
2023 03 31,18,19.5,33327.75,33327.8125,3,15,1,TRUE
2023 04 01,0,1.5,33328,33328.0625,2,7,1,TRUE
2023 04 01,6,7.5,33328.25,33328.3125,1.667,6,1,TRUE
2023 04 01,12,13.5,33328.5,33328.5625,3.333,18,1,TRUE
2023 04 01,18,19.5,33328.75,33328.8125,2.667,12,1,TRUE
2023 04 02,0,1.5,33329,33329.0625,3.667,22,1,TRUE
2023 04 02,6,7.5,33329.25,33329.3125,2.667,12,1,TRUE
2023 04 02,12,13.5,33329.5,33329.5625,2.333,9,1,TRUE
2023 04 02,18,19.5,33329.75,33329.8125,2,7,1,TRUE
2023 04 03,0,1.5,33330,33330.0625,3.333,18,1,TRUE
2023 04 03,6,7.5,33330.25,33330.3125,1.333,5,1,TRUE
2023 04 03,12,13.5,33330.5,33330.5625,2.667,12,1,TRUE
2023 04 03,18,19.5,33330.75,33330.8125,3.667,22,1,TRUE
2023 04 04,0,1.5,33331,33331.0625,3.667,22,1,TRUE
2023 04 04,6,7.5,33331.25,33331.3125,2.333,9,1,TRUE
2023 04 04,12,13.5,33331.5,33331.5625,2,7,1,TRUE
2023 04 04,18,19.5,33331.75,33331.8125,2.667,12,1,TRUE
2023 04 05,0,1.5,33332,33332.0625,3,15,1,TRUE
2023 04 05,6,7.5,33332.25,33332.3125,1.667,6,1,TRUE
2023 04 05,12,13.5,33332.5,33332.5625,3,15,1,TRUE
2023 04 05,18,19.5,33332.75,33332.8125,2.667,12,1,TRUE
2023 04 06,0,1.5,33333,33333.0625,1.333,5,1,TRUE
2023 04 06,6,7.5,33333.25,33333.3125,1,4,1,TRUE
2023 04 06,12,13.5,33333.5,33333.5625,2,7,1,TRUE
2023 04 06,18,19.5,33333.75,33333.8125,3,15,1,TRUE
2023 04 07,0,1.5,33334,33334.0625,3,15,1,TRUE
2023 04 07,6,7.5,33334.25,33334.3125,1.667,6,1,TRUE
2023 04 07,12,13.5,33334.5,33334.5625,1.667,6,1,TRUE
2023 04 07,18,19.5,33334.75,33334.8125,1.333,5,1,TRUE
